cod;nome;período;valor
21;MA;2007;1127
31;MG;2007;4125
50;MS;2007;710
51;MT;2007;889
15;PA;2007;2194
25;PB;2007;864
26;PE;2007;4557
22;PI;2007;383
41;PR;2007;3105
33;RJ;2007;6551
24;RN;2007;589
11;RO;2007;432
14;RR;2007;116
43;RS;2007;2199
42;SC;2007;632
28;SE;2007;522
35;SP;2007;6437
17;TO;2007;226
12;AC;2008;133
27;AL;2008;1887
13;AM;2008;830
16;AP;2008;210
29;BA;2008;4819
23;CE;2008;2019
53;DF;2008;812
32;ES;2008;1947
52;GO;2008;1792
21;MA;2008;1277
31;MG;2008;3889
50;MS;2008;699
51;MT;2008;937
15;PA;2008;2860
25;PB;2008;1029
26;PE;2008;4446
22;PI;2008;361
41;PR;2008;3445
33;RJ;2008;5662
24;RN;2008;714
11;RO;2008;480
14;RR;2008;105
43;RS;2008;2380
42;SC;2008;802
28;SE;2008;555
35;SP;2008;6332
17;TO;2008;237
12;AC;2009;153
27;AL;2009;1873
13;AM;2009;916
16;AP;2009;190
29;BA;2009;5432
23;CE;2009;2165
53;DF;2009;882
32;ES;2009;1985
52;GO;2009;1902
21;MA;2009;1398
31;MG;2009;3742
50;MS;2009;725
51;MT;2009;1000
15;PA;2009;2989
25;PB;2009;1263
26;PE;2009;3963
22;PI;2009;385
41;PR;2009;3698
33;RJ;2009;5365
24;RN;2009;800
11;RO;2009;538
14;RR;2009;118
43;RS;2009;2242
42;SC;2009;820
28;SE;2009;653
35;SP;2009;6557
17;TO;2009;289
12;AC;2010;165
27;AL;2010;2087
13;AM;2010;1082
16;AP;2010;260
29;BA;2010;5844
23;CE;2010;2688
53;DF;2010;786
32;ES;2010;1792
52;GO;2010;1979
21;MA;2010;1519
31;MG;2010;3646
50;MS;2010;656
51;MT;2010;972
15;PA;2010;3521
25;PB;2010;1455
26;PE;2010;3473
22;PI;2010;411
41;PR;2010;3586
33;RJ;2010;5667
24;RN;2010;810
11;RO;2010;546
14;RR;2010;121
43;RS;2010;2085
42;SC;2010;823
28;SE;2010;676
35;SP;2010;6039
17;TO;2010;327
12;AC;2011;164
27;AL;2011;2244
13;AM;2011;1292
16;AP;2011;209
29;BA;2011;5549
23;CE;2011;2792
53;DF;2011;902
32;ES;2011;1672
52;GO;2011;2272
21;MA;2011;1591
31;MG;2011;4262
50;MS;2011;673
51;MT;2011;1009
15;PA;2011;3073
25;PB;2011;1614
26;PE;2011;3471
22;PI;2011;440
41;PR;2011;3376
33;RJ;2011;4781
24;RN;2011;1054
11;RO;2011;450
14;RR;2011;95
43;RS;2011;2077
42;SC;2011;811
28;SE;2011;731
35;SP;2011;5842
17;TO;2011;361
12;AC;2012;208
27;AL;2012;2046
13;AM;2012;1344
16;AP;2012;253
29;BA;2012;6148
23;CE;2012;3841
53;DF;2012;954
32;ES;2012;1667
52;GO;2012;2793
21;MA;2012;1777
31;MG;2012;4562
50;MS;2012;683
51;MT;2012;1074
15;PA;2012;3236
25;PB;2012;1525
26;PE;2012;3327
22;PI;2012;525
41;PR;2012;3489
33;RJ;2012;4772
24;RN;2012;1124
11;RO;2012;526
14;RR;2012;144
43;RS;2012;2382
42;SC;2012;821
28;SE;2012;879
35;SP;2012;6566
17;TO;2012;379
12;AC;2013;234
27;AL;2013;2148
13;AM;2013;1191
16;AP;2013;225
29;BA;2013;5694
23;CE;2013;4473
53;DF;2013;837
32;ES;2013;1622
52;GO;2013;2975
21;MA;2013;2163
31;MG;2013;4717
50;MS;2013;630
51;MT;2013;1158
15;PA;2013;3405
25;PB;2013;1551
26;PE;2013;3124
22;PI;2013;598
41;PR;2013;2936
33;RJ;2013;5111
24;RN;2013;1447
11;RO;2013;483
14;RR;2013;214
43;RS;2013;2322
42;SC;2013;789
28;SE;2013;965
35;SP;2013;6035
17;TO;2013;349
12;AC;2014;232
27;AL;2014;2085
13;AM;2014;1240
16;AP;2014;256
29;BA;2014;6052
23;CE;2014;4626
53;DF;2014;843
32;ES;2014;1609
52;GO;2014;2887
21;MA;2014;2462
31;MG;2014;4724
50;MS;2014;700
51;MT;2014;1358
15;PA;2014;3446
25;PB;2014;1551
26;PE;2014;3358
22;PI;2014;717
41;PR;2014;2980
33;RJ;2014;5718
24;RN;2014;1602
11;RO;2014;578
14;RR;2014;158
43;RS;2014;2724
42;SC;2014;905
28;SE;2014;1097
35;SP;2014;6185
17;TO;2014;381
12;AC;2015;217
27;AL;2015;1748
13;AM;2015;1472
16;AP;2015;293
29;BA;2015;6012
23;CE;2015;4163
53;DF;2015;742
32;ES;2015;1450
52;GO;2015;2997
21;MA;2015;2438
31;MG;2015;4532
50;MS;2015;634
51;MT;2015;1203
15;PA;2015;3675
25;PB;2015;1522
26;PE;2015;3847
22;PI;2015;650
41;PR;2015;2936
33;RJ;2015;5067
24;RN;2015;1545
11;RO;2015;600
14;RR;2015;203
43;RS;2015;2944
42;SC;2015;957
28;SE;2015;1303
35;SP;2015;5427
17;TO;2015;503
12;AC;2016;363
27;AL;2016;1820
13;AM;2016;1452
16;AP;2016;381
29;BA;2016;7171
23;CE;2016;3642
53;DF;2016;760
32;ES;2016;1270
52;GO;2016;3036
21;MA;2016;2408
31;MG;2016;4622
50;MS;2016;671
51;MT;2016;1180
15;PA;2016;4223
25;PB;2016;1355
26;PE;2016;4447
22;PI;2016;701
41;PR;2016;3080
33;RJ;2016;6053
24;RN;2016;1854
11;RO;2016;703
14;RR;2016;204
43;RS;2016;3225
42;SC;2016;984
28;SE;2016;1465
35;SP;2016;4870
17;TO;2016;577
